time,susceptible,infected,recovered
1,2998,2,0
2,2994,6,0
3,2991,9,0
4,2985,15,0
5,2969,31,0
6,2952,48,0
7,2929,71,0
8,2870,130,0
9,2779,221,0
10,2647,353,0
11,2436,564,0
12,2106,894,0
13,1563,1436,1
14,677,2320,3
15,0,3000,0
16,0,2999,1
17,0,2999,1
18,0,2996,3
19,0,2997,1
20,0,2989,8
21,0,2975,19
22,0,2957,36
23,0,2954,38
24,0,2927,62
25,0,2862,119
26,0,2789,177
27,0,2726,229
28,0,2952,0
29,0,2951,1
30,0,2951,1
31,0,2951,1
32,0,2951,1
33,0,2945,7
34,0,2929,21
35,0,2920,30
36,0,2920,29
37,0,2878,67
38,0,2851,89
39,0,2770,162
40,0,2681,229
41,0,2904,0
42,0,2903,1
43,0,2903,1
44,0,2901,3
45,0,2904,0
46,0,2898,4
47,0,2884,17
48,0,2878,21
49,0,2851,39
50,0,2835,51
51,0,2817,60
52,0,2686,173
53,0,2608,232
54,0,2837,0
55,0,2836,1
56,0,2836,1
57,0,2834,3
58,0,2837,0
59,0,2828,6
60,0,2818,14
61,0,2807,24
62,0,2799,27
63,0,2768,56
64,0,2754,65
65,0,2680,127
66,0,2576,210
67,0,2783,0
68,0,2782,1
69,0,2782,1
70,0,2781,2
71,0,2782,0
72,0,2774,8
73,0,2763,17
74,0,2749,28
75,0,2741,33
76,0,2700,67
77,0,2672,90
78,0,2583,165
79,0,2499,231
80,0,2724,0
81,0,2723,1
82,0,2723,1
83,0,2724,0
84,0,2724,0
85,0,2716,8
86,0,2706,16
87,0,2697,22
88,0,2685,30
89,0,2652,54
90,0,2598,102
91,0,2543,149
92,0,2459,215
93,0,2670,0
94,0,2669,1
95,0,2668,1
96,0,2666,3
97,0,2669,0
98,0,2662,7
99,0,2651,17
100,0,2640,25
